Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
General Information for UCMR 4,2016-12-15,2020-02-28,OW-OGWDW-928,UCMR,UCMR4 Fact sheet providing general background.  ,https://www.epa.gov/dwucmr/fact-sheets-about-fourth-unregulated-contaminant-monitoring-rule-ucmr-4
HAA Assessment Monitoring for UCMR 4,2016-12-15,2020-02-28,OW-OGWDW-1077,UCMR,UCMR4 Fact sheet clarifying HAA monitoring.,https://www.epa.gov/dwucmr/fact-sheets-about-fourth-unregulated-contaminant-monitoring-rule-ucmr-4
UCMR 5 Laboratory Approval Requirements and Information Document,2022-12-09,2025-07-14,OW-OGWDW-3032,UCMR,Manual detailing the analytical methods and quality control requirements for laboratories supporting the UCMR 5 program. ,https://www.epa.gov/dwucmr/laboratory-approval-program-unregulated-contaminant-monitoring-rule-ucmr-5
Laboratories Approved by EPA to Support UCMR 4,2018-02-08,2020-02-28,OW-OGWDW-1417,UCMR,"Supports UCMR implementation, making list of EPA approved  laboratories available to all interested stakeholders. ",https://www.epa.gov/dwucmr/list-laboratories-approved-epa-fourth-unregulated-contaminant-monitoring-rule-ucmr-4
UCMR 5 Implementation Webinars,2022-10-26,2025-07-14,OW-OGWDW-3033,UCMR,Presentation materials for UCMR 5 webinar to assist water systems with implementing the rule,https://www.epa.gov/dwucmr/unregulated-contaminant-monitoring-rule-ucmr-meetings-and-materials
Steam Electric Final Postponement Rule,2018-09-17,2020-02-28,OW-OST-2205,Effluent Limit Guidelines,Fact Sheet clarifying postponement of certain compliance dates concerning 2015 Steam Electric Final Postponement Rule,https://www.epa.gov/eg/steam-electric-power-generating-effluent-guidelines-postponement-certain-compliance-dates
CWA/ CERCLA Site Specific Sample MOU,2017-11-21,2020-02-28,OW-OST-488,CERCLA,CWA/CERCLA Site Specific Sample Memorandum of Understanding,https://www.epa.gov/enforcement/cwacercla-site-specific-sample-memorandum-understanding
Federal Funding for Water and Wastewater Utilities in National Disasters (Fed FUNDS),2013-01-01,2020-02-28,OW-OGWDW-841,Recovery,This website gives utilities information about federal disaster funding programs. ,https://www.epa.gov/fedfunds
"EPA-FDA Advice about Eating Fish and Shellfish, Eating Fish: What Pregnant Women and Parents Should Know ",2017-01-01,2020-02-28,OW-OST-745,Fish Consumption,"EPA-FDA Advice about Eating Fish and Shellfish, Eating Fish: What Pregnant Women and Parents Should Know ",https://www.epa.gov/fish-tech/2017-epa-fda-advice-about-eating-fish-and-shellfish
Implementation of the American Recovery and Reinvestment Act of 2009,2011-05-01,2020-02-28,OW-OGWDW-1271,DWSRF,DWSRF; ARRA,https://www.epa.gov/grants/grants-information-related-american-recovery-and-reinvestment-act-2009
Interim Davis Bacon Act Guidance,2016-06-01,2020-02-28,OW-OGWDW-1370,DWSRF,DWSRF; Davis Bacon,https://www.epa.gov/grants/interim-davis-bacon-act-guidance
3Ts for Reducing Lead in Drinking Water in Schools and Child Care Facilities Toolkit,2019-03-21,2020-02-28,OW-OGWDW-55,Drinking Water ,3Ts for Reducing Lead in Drinking Water in Schools and Child Care Facilities Toolkit,https://www.epa.gov/ground-water-and-drinking-water/3ts-reducing-lead-drinking-water-toolkit
Drinking Water Cyanotoxin Risk Communication Toolbox  - factsheets,2016-11-01,2020-02-28,OW-OGWDW-628,Cyanotoxins in drinking water,Online risk communications toolbox - factsheets. ,https://www.epa.gov/ground-water-and-drinking-water/drinking-water-cyanotoxin-risk-communication-toolbox-general
Drinking Water Cyanotoxin Risk Communication Toolbox - FAQs,2016-11-01,2020-02-28,OW-OGWDW-629,Cyanotoxins in drinking water,Online risk communications toolbox - FAQs. ,https://www.epa.gov/ground-water-and-drinking-water/drinking-water-cyanotoxin-risk-communication-toolbox-general
Drinking Water Cyanotoxin Risk Communication Toolbox - templates,2016-11-01,2020-02-28,OW-OGWDW-630,Cyanotoxins in drinking water,Online risk communications toolbox - templates. ,https://www.epa.gov/ground-water-and-drinking-water/drinking-water-cyanotoxin-risk-communication-toolbox-templates
National Estuary Program Infrastructure Investment and Jobs Act Implementation Memo,2022-07-26,2025-07-17,OW-OWOW-3175,National Estuary Program ,IIJA memo explaining how the agency is distributing funds to existing NEPs. ,https://www.epa.gov/infrastructure/national-estuary-program-infrastructure-investment-and-jobs-act-implementation-memo
Applicability of the Safe Drinking Water Act to Submetered Properties (EPA-HQ-OW-2007-0838-0001),2003-12-23,2020-02-28,OW-OGWDW-196,Drinking Water,Applicability of the Safe Drinking Water Act to Submetered Properties (EPA-HQ-OW-2007-0838-0001),https://www.epa.gov/laws-regulations/significant-guidance-documents-water
"Federal Guidance for Establishment, Use and Operation of Mitigation Banks (EPA-HQ-OW-2007-0799-0001)",1995-11-01,2020-02-28,OW-OWOW-838,Mitigation ,"Federal Guidance for Establishment, Use and Operation of Mitigation Banks (EPA-HQ-OW-2007-0799-0001)",https://www.epa.gov/laws-regulations/significant-guidance-documents-water
Final Administrative Changes to Coastal Nonpoint Pollution Control Program Guidance (fr21oc98-34),1998-10-21,2020-02-28,OW-OWOW-853,NPS ,Final Administrative Changes to Coastal Nonpoint Pollution Control Program Guidance (fr21oc98-34),https://www.epa.gov/laws-regulations/significant-guidance-documents-water
Watershed Initiative:  Call for Nominations,2002-08-21,2020-02-28,OW-OWOW-2739,Waters of the US ,Memo RE: Scope of Waters of the US following the Supreme Court Decision in SWANCC (EPA-HQ-OW-2007-0801-0002),https://www.epa.gov/laws-regulations/significant-guidance-documents-water
Regulation of marine carbon dioxide removal web page,2024-01-09,2025-07-17,OW-OWOW-3177,MPRSA,Q&As about permitting requirements for marine carbon dioxide removal activities under MPRSA and CWA 402,https://www.epa.gov/marine-protection-permitting/regulation-mcdr-under-mprsa-and-cwa-section-402
Resources for MPRSA permit applicants,2024-01-09,2025-07-17,OW-OWOW-3176,MPRSA,Informational webpage for potential permit applicants providing links to MPRSA permit application requirements for marine carbon dioxide removal projects,https://www.epa.gov/marine-protection-permitting/resources-mprsa-permit-applicants
Achieving Water Quality Through Integrated Municipal Stormwater & Wastewater Plans,2012-06-05,2020-02-28,OW-OWM-80,Int Planning,Memo from OW and OECA to Regions describing expectations for an integrated approach to stormwater and wastewater planning.,https://www.epa.gov/npdes/achieving-water-quality-through-integrated-municipal-stormwater-and-wastewater-plans
Construction Stormwater Pollution Prevention Plan Template,2016-01-01,2020-02-28,OW-OWM-451,Stormwater,"Template for developing a SWPPP that complies with the minimum requirements of Part 7 of EPA’s 2017 Construction General Permit, and is customizable to a specific project and site.",https://www.epa.gov/npdes/construction-general-permit-resources-tools-and-templates
"Guidance Manual for Conditional Exclusion from Storm Water Permitting Based on ""No Exposure"" of Industrial Activities to Storm Water",2000-06-01,2020-02-28,OW-OWM-1000,Stormwater,Guidance describes who is eligible for the revised no exposure exclusion; the definition of no exposure; and how to complete the No Exposure Certification Form.,https://www.epa.gov/npdes/guidance-manual-conditional-exclusion-stormwater-permitting-based-no-exposure-industrial
Industrial User Permitting Guidance Manual,2012-09-01,2020-02-28,OW-OWM-1328,Pretreatment,"Provides guidance for control authorities to effectively develop and issue control mechanisms to IUs discharging to the POTW and covers developing and implementing control mechanisms for both SIUs and non-SIUs.
- Likely supersedes 9/29/1989 version",https://www.epa.gov/npdes/industrial-user-permitting-guidance-manual
FY 18-22 NPDES Permit Quality Review (PQR) Standard Operating Procedures,2018-04-12,2020-02-28,OW-OWM-914,Oversight,Procedures for HQ and Regional reviewers to follow in conducting permit quality reviews.,https://www.epa.gov/npdes/npdes-permit-quality-review-standard-operating-procedures
NPDES Permit Writers' Manual,2010-09-01,2020-02-28,OW-OWM-1730,Permit writing,"Permit writer's manual was issued 5/1987, 3/1993, 12/1996, and 9/2010; each version supersedes previous versions.",https://www.epa.gov/npdes/npdes-permit-writers-manual
Primer for Wastewater Treatment,2004-09-01,2020-06-27,OW-OWM-2899,Wastewater treatment,Overview of wastewater treatment methods. Supersedes 1980 version.,https://www.epa.gov/npdes/npdes-resources
Smart Data Infrastructure for Wet Weather Control and Decision Support,2018-08-01,2020-02-28,OW-OWM-2140,CSOs,"Document focuses on how municipalities, utilities, and related organizations can use advances in technology to implement “smart data infrastructure” for wet weather control—i.e., how they can use advanced monitoring data to support wet weather control and decision-making in real time or near real time.",https://www.epa.gov/npdes/smart-data-infrastructure-wet-weather-control-and-decision-support
Water Quality Trading Toolkit for Permit Writers,2009-06-01,2020-02-28,OW-OWM-2705,Water Quality Trading,"""How-to"" manual on designing and implementing water quality trading programs. Helps NPDES permitting authorities incorporate trading provisions into permits. Will help improve quality and consistency of trading programs.
- Updates 8/2007 version.",https://www.epa.gov/npdes/water-quality-trading-toolkit-permit-writers
Water Quality Trading on a Watershed Scale,2020-11-05,2020-11-17,OW-OWM-2973,Water Quality Trading,This paper describes three factors that trading program managers may want to consider when determining the appropriate scale for a trading area.,https://www.epa.gov/npdes/water-quality-trading-watershed-scale
WET Analysis Spreadsheet,2012-05-01,2020-02-28,OW-OWM-2861,WET,Spreadsheet calculates acute and chronic WET effects identified in EPA’s WET test methods under the NPDES program. Spreadsheet calculates various WET endpoints recommended in EPA’s Technical Support Document (TSD).,https://www.epa.gov/npdes/whole-effluent-toxicity-wet
Guidelines on Awarding  Section 319 Grants to Indian Tribes Requests for Grants Proposals for Watershed Projects,2004-12-21,2020-02-28,OW-OWOW-1069,Section 319,Guidelines on Awarding  Section 319 Grants to Indian Tribes Requests for Grants Proposals for Watershed Projects,https://www.epa.gov/nps/319-grant-current-guidance
Approving and Disapproving State Programs under the Coastal Zone Act Reauthorization (CZARA) Amendments of 1990,2003-10-16,2020-02-28,OW-OWOW-211,NPS ,Operational framework for CZARA coastal nonpoint program co-administered by EPA and NOAA. ,https://www.epa.gov/nps/coastal-zone-act-reauthorization-amendments-czara-section-6217
"Nonpoint Source Program and Grants
Guidelines for States and Territories",2024-05-04,2025-07-17,OW-OWOW-3164,319 Grant Guidance,"Replaces 2014 CWA section 319 grant Guidelines""Nonpoint Source Program Grant Guidelines for states and Territories "" ",https://www.epa.gov/nps/cwa-ss319-grant-current-guidance 
CZARA Coastal Nonpoint Program Management Measures Guidance,1993-01-15,2020-02-28,OW-OWOW-499,NPS ,CZARA Coastal Nonpoint Program Management Measures Guidance,https://www.epa.gov/nps/guidance-specifying-management-measures-sources-nonpoint-pollution-coastal-waters
National Management Measures to Control Nonpoint Source Pollution from Agriculture,2003-07-01,2020-02-28,OW-OWOW-1655,NPS ,National Management Measures to Control Nonpoint Source Pollution from Agriculture   EPA-B-03-004,https://www.epa.gov/nps/national-management-measures-control-nonpoint-source-pollution-agriculture 
National Management Measures to Control Nonpoint Source Pollution from Hydromodification ,2007-07-01,2020-02-28,OW-OWOW-1657,NPS ,National Management Measures to Control Nonpoint Source Pollution from Hydromodification EPA 841-B-07-002,https://www.epa.gov/nps/nonpoint-source-pollution-technical-guidance-and-tools
National Management Measures to Control Nonpoint Source Pollution from Marinas and Recreational Boatings,2001-11-01,2020-02-28,OW-OWOW-1658,NPS ,National Management Measures to Control Nonpoint Source Pollution from Marinas and Recreational Boatings,https://www.epa.gov/nps/nonpoint-source-pollution-technical-guidance-and-tools
National Management Measures to Control Nonpoint Source Pollution from Urban Areas,2005-11-23,2020-02-28,OW-OWOW-1659,NPS ,EPA 841-B-05-004 - guidance for measures to control urban runoff CZARA coastal nonpoint programs,https://www.epa.gov/nps/nonpoint-source-pollution-technical-guidance-and-tools
Nutrient Criteria Technical Guidance Manual: Wetlands,2008-11-24,2020-02-28,OW-OWOW-1027,Nutrients,The Nutrient Criteria Technical Guidance Manual: Wetlands gives state and tribal water quality managers guidance for the first time on how to set nutrient criteria for wetlands. ,https://www.epa.gov/nutrient-policy-data/criteria-development-guidance-wetlands
Interim Guidance for Performance-Based Reductions of NPDES Permit Monitoring Frequencies,1996-04-19,2020-02-28,OW-OWM-1375,Permit conditions,Guidance to permit writers on how to reduce NPDES monitoring in a statistically sound way that does not reduce the ability of EPA or States to determine non-compliance with permit requirements.,https://www.epa.gov/nutrient-policy-data/interim-guidance-performance-based-reductions-npdes-permit-monitoring
"Memorandum to the Field on Coordination to Ensure Consistent Implementation of the Navigable Waters Protection Rule, which ensures the consistent implementation of the NWPR by establishing a process by which EPA, Army, and the Corps will coordinate on policy matters. ",2020-06-30,2020-07-28,OW-OWOW-2954,Waters of the US ,Guidance on implementing the Navigable Waters Protection Rule,https://www.epa.gov/nwpr/navigable-waters-protection-rule-implementation-memos
Burial at Sea - Frequently Asked Questions,2017-02-14,2020-02-28,OW-OWOW-314,MPRSA,Public FAQ's for the MPRSA General Permit for Burial at Sea of cremated or non-cremated human remains. ,https://www.epa.gov/ocean-dumping/burial-sea
